00.Cybersecurity;01.Vulnerabilities;02.Threats;03.Identity;04.Governance;05.Network;06.Data;07.Monitoring;08.Incident Response;09.Cloud Security;10.Application Security;11.Physical Security;12.Human Factors
cybersecurity;vulnerabilities;threats;identity;governance;network;anonymization;monitoring;response;cloud security;api security;physical security;awareness measurement
antivirus;attack vector;advanced persistent threat;abac;adherence;barrier;audit;alert;business continuity;change psychology;application firewall;access control system;behavior modification
archive;backdoor;adware;access;administration;bridge;authenticity;alert management;communication;cloud access security;application security;alarm system;behavioral analysis
automation;breach;apt;access control;assessment;bridge device;availability;alerts;communication plan;cloud compliance;appsec;asset protection;behavioral risk
blue team;broken authentication;botnet;access-control;audit trail;buffer zone;backup;analyses;containment;cloud configuration;authentication testing;badge reader;cognitive bias
byod;buffer overflow;browser hijacking;account;authorization;capacity planning;analysis;anomaly detection;crisis management;cloud drift;automated testing;biometric access;behavioral risk
cobit;configuration drift;business email compromise;adaptive authentication;change management;congestion control;classification;anomaly detection;csirt;cloud governance;automated testing;biometric scanner;behavioral risk
cryptography;credential stuffing;clickbait;authentication;cobit;ddos protection;confidentiality;baseline;csirt;cloud governance;behavioral economics;biometric scanner;human error
cyberattack;cve;clickjacking;authorization;compliance;dmz;data architecture;behavioral monitoring;damage assessment;cloud identity;blackbox testing;bollard;human factor
cyberdefense;data exposure;command injection;behavioral analytics;configuration management;dns;data integration;compliance monitoring;disaster recovery;cloud monitoring;business logic abuse;building security;insider risk
deception technology;default credentials;credential harvesting;biometric;continual improvement;error handling;data loss prevention;continuous monitoring;emergency exit;cloud orchestration;ci/cd;card reader;insider threat
defense in depth;design flaw;cross-site scripting;certificate;control;fault tolerance;data masking;correlation;emergency lighting;cloud security posture;code review;cctv;negligence
edr;exploit;crypto-mining;compliance framework;corrective action;firewall;data migration;dashboard;escalation;cloud vulnerability;container security;door control;negligent behavior
endpoint;improper access;cyber attack;continuous authentication;directive;flow control;data modeling;data collection;evacuation;cloud workload protection;dependency scanning;door lock;organizational culture
firewall-gateway;information disclosure;cyber espionage;credential;documentation;gateway;data retention;detection;evacuation plan;cognitive security;devsecops;electronic lock;peer influence
forensics;injection;denial of service;credential management;emergency response;hub;data warehousing;endpoint monitoring;evaluation;compliance monitoring;dynamic analysis;entry control;phishing awareness
hardening;insecure deserialization;distributed denial of service;digital identity;evaluation;intrusion detection;encryption;event correlation;exception management;configuration drift;error handling;environmental control;policy awareness
honeypot;known vulnerability;drive-by download;directory services;exception handling;intrusion prevention;hashing;event management;forensics;cspm;infrastructure scanning;exit control;psychological safety
iam;legacy system;email spoofing;federated identity;framework;load balancer;integration testing;forensic analysis;incident classification;data catalog;injection;facility monitoring;risk communication
identification;logic error;fake antivirus;governance;governance framework;load balancing;integrity;identification;incident handling;data discovery;data classification;input validation;facility security;risk perception
incident response;malicious code;fake news;identities;guideline;micro-segmentation;key management;incident detection;incident response;data discovery;incident response;interactive testing;fence;safety culture
information assurance;misconfiguration;file inclusion;identity federation;incident management;nat;labeling;incident management;incident tracking;data governance;license scanning;fire suppression;security awareness
machine learning;missing encryption;fileless malware;identity governance;iso27001;network isolation;logging;investigation;investigation process;data inventory;obfuscation;gate control;security behavior
malware analysis;open redirect;hoax;identity lifecycle;issue management;network mapping;manual testing;log analysis;isolation;data lineage;output validation;guard;security champion
